연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
200,동네체육시설,동곡 침산마을 동네체육시설,광주광역시 광산구 하산동 16-1,동네체육시설,2010-05-14,2021-06-16
201,동네체육시설,동곡 침산마을 동네체육시설,광주광역시 광산구 하산동 16-1,동네체육시설,2010-06-11,2021-06-16
202,동네체육시설,동곡 침산마을 동네체육시설,광주광역시 광산구 하산동 16-1,동네체육시설,2017-08-22,2021-06-16
203,동네체육시설,호가정 일원 동네체육시설,광주광역시 광산구 본덕동 40-1,동네체육시설,2018-01-29,2021-06-16
204,동네체육시설,동곡동 기룡마을,광주광역시 광산구 하산동 658-2,동네체육시설,2016-09-12,2021-06-16
205,동네체육시설,동곡동 상정마을,광주광역시 광산구 요기동 480,동네체육시설,2016-09-12,2021-06-16
206,동네체육시설,연산 경로당 동네체육시설,광주광역시 광산구 연산동 621-2,동네체육시설,2018-01-29,2021-06-16
207,동네체육시설,평동 용곡마을 동네체육시설,광주광역시 광산구 용곡동  347-2,동네체육시설,2016-03-08,2021-06-16
208,동네체육시설,평동 봉정마을 동네체육시설,광주광역시 광산구 지정동 250-4,동네체육시설,2017-07-14,2021-06-16
209,동네체육시설,평동 평지마을 동네체육시설,광주광역시 광산구 광산구 지정동 1029-5번지,동네체육시설,2011-06-14,2021-06-16
210,동네체육시설,명화동 명화마을 동네체육시설,광주광역시 광산구 명화동 478-5,동네체육시설,2011-11-23,2021-06-16
211,동네체육시설,명화동 명화마을 동네체육시설,광주광역시 광산구 명화동 478-5,동네체육시설,2011-12-29,2021-06-16
212,동네체육시설,명화동 명화마을 동네체육시설,광주광역시 광산구 명화동 478-5,동네체육시설,2012-04-03,2021-06-16
213,동네체육시설,평동 연동마을 종네체육시설,광주광역시 광산구 동산동 1133번지,동네체육시설,2014-12-09,2021-06-16
214,동네체육시설,삼도 회룡마을 동네체육시설,광주광역시 광산구 삼도동 77-8번지,동네체육시설,2014-12-09,2021-06-16
215,동네체육시설,평동 동산마을 동네체육시설,광주광역시 광산구 동산동 122-1,동네체육시설,1997-01-30,2021-06-16
216,동네체육시설,평동 대덕마을,광주광역시 광산구 동산동 산 133,동네체육시설,2016-09-12,2021-06-16
217,동네체육시설,삼도동 신동마을 동네체육시설,광주광역시 광산구 신동 338-1번지,동네체육시설,2015-07-21,2021-06-16
